"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8","Ошибка создания товара без названия","tests.api","2026-06-03","passed","2026-06-03","","test_products_api","",""
"","23","Ошибка при запросе несуществующего заказа","tests.api","2026-06-03","passed","2026-06-03","","test_orders_api","",""
"","5","Блокировка входа с пустыми полями","tests.api","2026-06-03","passed","2026-06-03","","test_auth_api","",""
"","111","Проверка создания товара с разными ценами","tests.api","2026-06-03","passed","2026-06-03","","test_products_api","",""
"","132","Успешный вход с правильными данными","tests.api","2026-06-03","passed","2026-06-03","","test_auth_api","",""
"","6","Проверка создания товара с разными ценами","tests.api","2026-06-03","passed","2026-06-03","","test_products_api","",""
"","17","Успешное получение списка заказов администратором","tests.api","2026-06-03","passed","2026-06-03","","test_orders_api","",""
"","123","Успешное создание нового кроссовка","tests.api","2026-06-03","passed","2026-06-03","","test_products_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","2026-06-03","broken","2026-06-03","","test_carts_api","",""
"","121","Проверка создания товара с разными ценами","tests.api","2026-06-03","passed","2026-06-03","","test_products_api","",""
"","1","Попытка получить список заказов без авторизации","tests.api","2026-06-03","passed","2026-06-03","","test_orders_api","",""
"","85","Блокировка входа с неверным паролем","tests.api","2026-06-03","passed","2026-06-03","","test_auth_api","",""
"","239","Попытка добавить реальный товар в фейковую корзину","tests.api","2026-06-03","passed","2026-06-03","","test_carts_api","",""
"","0","Попытка удаления товара без токена","tests.api","2026-06-03","passed","2026-06-03","","test_products_api","",""
"","116","Проверка создания товара с разными ценами","tests.api","2026-06-03","passed","2026-06-03","","test_products_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","2026-06-03","broken","2026-06-03","","test_carts_api","",""
"","103","Проверка создания товара с разными ценами","tests.api","2026-06-03","passed","2026-06-03","","test_products_api","",""
