"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Успешный создание корзины и добавление товара","tests.api","2026-07-22","broken","2026-07-22","","test_carts_api","",""
"","122","Проверка создания товара с разными ценами","tests.api","2026-07-22","passed","2026-07-22","","test_products_api","",""
"","0","Попытка удаления товара без токена","tests.api","2026-07-22","passed","2026-07-22","","test_products_api","",""
"","156","Успешный вход с правильными данными","tests.api","2026-07-22","passed","2026-07-22","","test_auth_api","",""
"","106","Блокировка входа с неверным паролем","tests.api","2026-07-22","passed","2026-07-22","","test_auth_api","",""
"","7","Проверка создания товара с разными ценами","tests.api","2026-07-22","passed","2026-07-22","","test_products_api","",""
"","243","Попытка добавить реальный товар в фейковую корзину","tests.api","2026-07-22","passed","2026-07-22","","test_carts_api","",""
"","209","Успешное создание нового кроссовка","tests.api","2026-07-22","passed","2026-07-22","","test_products_api","",""
"","30","Ошибка при запросе несуществующего заказа","tests.api","2026-07-22","passed","2026-07-22","","test_orders_api","",""
"","20","Успешное получение списка заказов администратором","tests.api","2026-07-22","passed","2026-07-22","","test_orders_api","",""
"","107","Проверка создания товара с разными ценами","tests.api","2026-07-22","passed","2026-07-22","","test_products_api","",""
"","118","Проверка создания товара с разными ценами","tests.api","2026-07-22","passed","2026-07-22","","test_products_api","",""
"","6","Блокировка входа с пустыми полями","tests.api","2026-07-22","passed","2026-07-22","","test_auth_api","",""
"","132","Проверка создания товара с разными ценами","tests.api","2026-07-22","passed","2026-07-22","","test_products_api","",""
"","0","Попытка получить список заказов без авторизации","tests.api","2026-07-22","passed","2026-07-22","","test_orders_api","",""
"","8","Ошибка создания товара без названия","tests.api","2026-07-22","passed","2026-07-22","","test_products_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","2026-07-22","broken","2026-07-22","","test_carts_api","",""
