"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Попытка получить список заказов без авторизации","tests.api","2026-06-24","passed","2026-06-24","","test_orders_api","",""
"","110","Проверка создания товара с разными ценами","tests.api","2026-06-24","passed","2026-06-24","","test_products_api","",""
"","23","Ошибка при запросе несуществующего заказа","tests.api","2026-06-24","passed","2026-06-24","","test_orders_api","",""
"","227","Попытка добавить реальный товар в фейковую корзину","tests.api","2026-06-24","passed","2026-06-24","","test_carts_api","",""
"","17","Успешное получение списка заказов администратором","tests.api","2026-06-24","passed","2026-06-24","","test_orders_api","",""
"","7","Проверка создания товара с разными ценами","tests.api","2026-06-24","passed","2026-06-24","","test_products_api","",""
"","118","Проверка создания товара с разными ценами","tests.api","2026-06-24","passed","2026-06-24","","test_products_api","",""
"","235","Успешное создание нового кроссовка","tests.api","2026-06-24","passed","2026-06-24","","test_products_api","",""
"","129","Успешный вход с правильными данными","tests.api","2026-06-24","passed","2026-06-24","","test_auth_api","",""
"","87","Блокировка входа с неверным паролем","tests.api","2026-06-24","passed","2026-06-24","","test_auth_api","",""
"","0","Попытка добавить фейковый товар в реальную корзину","tests.api","2026-06-24","broken","2026-06-24","","test_carts_api","",""
"","0","Попытка удаления товара без токена","tests.api","2026-06-24","passed","2026-06-24","","test_products_api","",""
"","122","Проверка создания товара с разными ценами","tests.api","2026-06-24","passed","2026-06-24","","test_products_api","",""
"","0","Успешный создание корзины и добавление товара","tests.api","2026-06-24","broken","2026-06-24","","test_carts_api","",""
"","131","Проверка создания товара с разными ценами","tests.api","2026-06-24","passed","2026-06-24","","test_products_api","",""
"","21","Блокировка входа с пустыми полями","tests.api","2026-06-24","passed","2026-06-24","","test_auth_api","",""
"","8","Ошибка создания товара без названия","tests.api","2026-06-24","passed","2026-06-24","","test_products_api","",""
